subject,experiment,session,original_name,truncated_name,original_length
R1074M,FR1,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,FR1,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,FR1,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,FR1,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,FR1,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,FR1,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,FR1,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,FR1,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,FR1,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,FR2,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,FR2,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,FR2,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,FR2,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,FR2,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,FR2,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,FR2,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,FR2,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,FR2,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,PAL1,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,PAL1,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,PAL1,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,PAL1,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,PAL1,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,PAL1,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,PAL1,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,PAL1,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,PAL1,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,PAL2,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,PAL2,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,PAL2,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,PAL2,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,PAL2,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,PAL2,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,PAL2,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,PAL2,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,PAL2,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,PS2,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,PS2,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,PS2,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,PS2,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,PS2,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,PS2,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,PS2,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,PS2,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,PS2,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,PS2,1,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,PS2,1,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,PS2,1,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,PS2,1,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,PS2,1,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,PS2,1,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,PS2,1,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,PS2,1,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,PS2,1,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,PS2,2,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,PS2,2,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,PS2,2,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,PS2,2,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,PS2,2,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,PS2,2,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,PS2,2,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,PS2,2,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,PS2,2,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,YC1,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,YC1,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,YC1,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,YC1,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,YC1,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,YC1,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,YC1,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,YC1,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,YC1,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,YC2,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,YC2,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,YC2,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,YC2,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,YC2,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,YC2,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,YC2,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,YC2,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,YC2,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,catFR1,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,catFR1,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,catFR1,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,catFR1,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,catFR1,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,catFR1,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,catFR1,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,catFR1,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,catFR1,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,catFR2,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,catFR2,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,catFR2,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,catFR2,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,catFR2,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,catFR2,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,catFR2,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,catFR2,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,catFR2,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1079E,YC1,0,LSFGCGGR1-LSFGCGGR3,LSFGCG1-LSFGCG3,19
R1079E,YC1,0,LSFGCGGR3-LSFGCGGR5,LSFGCG3-LSFGCG5,19
R1079E,YC1,0,LSFGCGGR5-LSFGCGGR7,LSFGCG5-LSFGCG7,19
R1079E,YC1,0,LSFGCGGR7-LSFGCGGR9,LSFGCG7-LSFGCG9,19
R1079E,YC1,0,LMFGPORB1-LMFGPORB4,LMFGPO1-LMFGPO4,19
R1079E,YC1,0,LMFGPORB4-LMFGPORB7,LMFGPO4-LMFGPO7,19
R1079E,YC1,0,LPTRIANG1-LPTRIANG4,LPTRIA1-LPTRIA4,19
R1079E,YC1,0,LPTRIANG4-LPTRIANG7,LPTRIA4-LPTRIA7,19
R1079E,YC1,0,LMFGINSPOPER1-LMFGINSPOPER4,LMFGIN1-LMFGIN4,27
R1079E,YC1,0,LMFGINSPOPER4-LMFGINSPOPER7,LMFGIN4-LMFGIN7,27
R1079E,YC1,0,LMIINSTPOLE1-LMIINSTPOLE3,LMIINS1-LMIINS3,25
R1079E,YC1,0,LMIINSTPOLE3-LMIINSTPOLE5,LMIINS3-LMIINS5,25
R1079E,YC1,0,LMIINSTPOLE5-LMIINSTPOLE7,LMIINS5-LMIINS7,25
R1079E,YC1,0,LMIINSTPOLE7-LMIINSTPOLE9,LMIINS7-LMIINS9,25
R1079E,YC1,0,LMTGAMY1-LMTGAMY2,LMTGAM1-LMTGAM2,17
R1079E,YC1,0,LMTGAMY2-LMTGAMY3,LMTGAM2-LMTGAM3,17
R1079E,YC1,0,LMTGAMY3-LMTGAMY4,LMTGAM3-LMTGAM4,17
R1079E,YC1,0,LMTGAMY4-LMTGAMY5,LMTGAM4-LMTGAM5,17
R1079E,YC1,0,LMTGAMY5-LMTGAMY6,LMTGAM5-LMTGAM6,17
R1079E,YC1,0,LMTGAMY6-LMTGAMY7,LMTGAM6-LMTGAM7,17
R1079E,YC1,0,LMTGAMY7-LMTGAMY8,LMTGAM7-LMTGAM8,17
R1079E,YC1,0,LMTGAMY8-LMTGAMY9,LMTGAM8-LMTGAM9,17
R1079E,YC1,0,LMTGAMY9-LMTGAMY10,LMTGAM9-LMTGA10,18
R1079E,YC1,0,LMTGAHC1-LMTGAHC2,LMTGAH1-LMTGAH2,17
R1079E,YC1,0,LMTGAHC2-LMTGAHC3,LMTGAH2-LMTGAH3,17
R1079E,YC1,0,LMTGAHC3-LMTGAHC4,LMTGAH3-LMTGAH4,17
R1079E,YC1,0,LMTGAHC4-LMTGAHC5,LMTGAH4-LMTGAH5,17
R1079E,YC1,0,LMTGAHC5-LMTGAHC6,LMTGAH5-LMTGAH6,17
R1079E,YC1,0,LMTGAHC6-LMTGAHC7,LMTGAH6-LMTGAH7,17
R1079E,YC1,0,LMTGAHC7-LMTGAHC8,LMTGAH7-LMTGAH8,17
R1079E,YC1,0,LMTGAHC8-LMTGAHC9,LMTGAH8-LMTGAH9,17
R1079E,YC1,0,LMTGAHC9-LMTGAHC10,LMTGAH9-LMTGA10,18
R1079E,YC1,0,LPHGPHC1-LPHGPHC4,LPHGPH1-LPHGPH4,17
R1079E,YC1,0,LPHGPHC4-LPHGPHC7,LPHGPH4-LPHGPH7,17
R1079E,YC1,0,LSTGINS1-LSTGINS4,LSTGIN1-LSTGIN4,17
R1079E,YC1,0,LSTGINS4-LSTGINS7,LSTGIN4-LSTGIN7,17
R1079E,YC1,0,LSTGINS7-LSTGINS10,LSTGIN7-LSTGI10,18
R1079E,YC1,0,RSFGCGGR1-RSFGCGGR3,RSFGCG1-RSFGCG3,19
R1079E,YC1,0,RSFGCGGR3-RSFGCGGR5,RSFGCG3-RSFGCG5,19
R1079E,YC1,0,RSFGCGGR5-RSFGCGGR7,RSFGCG5-RSFGCG7,19
R1079E,YC1,0,RSFGCGGR7-RSFGCGGR9,RSFGCG7-RSFGCG9,19
R1079E,YC1,0,RMFGPORB1-RMFGPORB4,RMFGPO1-RMFGPO4,19
R1079E,YC1,0,RMFGPORB4-RMFGPORB7,RMFGPO4-RMFGPO7,19
R1079E,YC1,0,RPTRIANG1-RPTRIANG4,RPTRIA1-RPTRIA4,19
R1079E,YC1,0,RPTRIANG4-RPTRIANG7,RPTRIA4-RPTRIA7,19
R1079E,YC1,0,RMFGINSPOPER1-RMFGINSPOPER4,RMFGIN1-RMFGIN4,27
R1079E,YC1,0,RMFGINSPOPER4-RMFGINSPOPER7,RMFGIN4-RMFGIN7,27
R1079E,YC1,0,RMIINSTPOLE1-RMIINSTPOLE3,RMIINS1-RMIINS3,25
R1079E,YC1,0,RMIINSTPOLE3-RMIINSTPOLE5,RMIINS3-RMIINS5,25
R1079E,YC1,0,RMIINSTPOLE5-RMIINSTPOLE7,RMIINS5-RMIINS7,25
R1079E,YC1,0,RMIINSTPOLE7-RMIINSTPOLE9,RMIINS7-RMIINS9,25
R1079E,YC1,0,RSTGFUSIG1-RSTGFUSIG4,RSTGFU1-RSTGFU4,21
R1079E,YC1,0,RSTGFUSIG4-RSTGFUSIG7,RSTGFU4-RSTGFU7,21
R1079E,YC1,0,RMTGAMY1-RMTGAMY2,RMTGAM1-RMTGAM2,17
R1079E,YC1,0,RMTGAMY2-RMTGAMY3,RMTGAM2-RMTGAM3,17
R1079E,YC1,0,RMTGAMY3-RMTGAMY4,RMTGAM3-RMTGAM4,17
R1079E,YC1,0,RMTGAMY4-RMTGAMY5,RMTGAM4-RMTGAM5,17
R1079E,YC1,0,RMTGAMY5-RMTGAMY6,RMTGAM5-RMTGAM6,17
R1079E,YC1,0,RMTGAMY6-RMTGAMY7,RMTGAM6-RMTGAM7,17
R1079E,YC1,0,RMTGAMY7-RMTGAMY8,RMTGAM7-RMTGAM8,17
R1079E,YC1,0,RMTGAMY8-RMTGAMY9,RMTGAM8-RMTGAM9,17
R1079E,YC1,0,RMTGAMY9-RMTGAMY10,RMTGAM9-RMTGA10,18
R1079E,YC1,0,RMTGAHC1-RMTGAHC2,RMTGAH1-RMTGAH2,17
R1079E,YC1,0,RMTGAHC2-RMTGAHC3,RMTGAH2-RMTGAH3,17
R1079E,YC1,0,RMTGAHC3-RMTGAHC4,RMTGAH3-RMTGAH4,17
R1079E,YC1,0,RMTGAHC4-RMTGAHC5,RMTGAH4-RMTGAH5,17
R1079E,YC1,0,RMTGAHC5-RMTGAHC6,RMTGAH5-RMTGAH6,17
R1079E,YC1,0,RMTGAHC6-RMTGAHC7,RMTGAH6-RMTGAH7,17
R1079E,YC1,0,RMTGAHC7-RMTGAHC8,RMTGAH7-RMTGAH8,17
R1079E,YC1,0,RMTGAHC8-RMTGAHC9,RMTGAH8-RMTGAH9,17
R1079E,YC1,0,RMTGAHC9-RMTGAHC10,RMTGAH9-RMTGA10,18
R1079E,YC1,0,RPHGPHC1-RPHGPHC4,RPHGPH1-RPHGPH4,17
R1079E,YC1,0,RPHGPHC4-RPHGPHC7,RPHGPH4-RPHGPH7,17
R1079E,YC1,0,RSTGINS1-RSTGINS4,RSTGIN1-RSTGIN4,17
R1079E,YC1,0,RSTGINS4-RSTGINS7,RSTGIN4-RSTGIN7,17
R1079E,YC1,0,RSTGINS7-RSTGINS10,RSTGIN7-RSTGI10,18
R1137E,FR1,0,L1TPODL1-L1TPODL2,L1TPOD1-L1TPOD2,17
R1137E,FR1,0,L1TPODL2-L1TPODL3,L1TPOD2-L1TPOD3,17
R1137E,FR1,0,L1TPODL3-L1TPODL4,L1TPOD3-L1TPOD4,17
R1137E,FR1,0,L1TPODL4-L1TPODL5,L1TPOD4-L1TPOD5,17
R1137E,FR1,0,L1TPODL5-L1TPODL6,L1TPOD5-L1TPOD6,17
R1137E,FR1,0,L1TPODL6-L1TPODL7,L1TPOD6-L1TPOD7,17
R1137E,FR1,0,L1TPODL7-L1TPODL8,L1TPOD7-L1TPOD8,17
R1137E,FR1,0,L1TPODL8-L1TPODL9,L1TPOD8-L1TPOD9,17
R1137E,FR1,0,L13OF1D1-L13OF1D2,L13OF11-L13OF12,17
R1137E,FR1,0,L13OF1D2-L13OF1D3,L13OF12-L13OF13,17
R1137E,FR1,0,L13OF1D3-L13OF1D4,L13OF13-L13OF14,17
R1137E,FR1,0,L13OF1D4-L13OF1D5,L13OF14-L13OF15,17
R1137E,FR1,0,L13OF1D5-L13OF1D6,L13OF15-L13OF16,17
R1137E,FR1,0,L13OF1D6-L13OF1D7,L13OF16-L13OF17,17
R1137E,FR1,0,L13OF1D7-L13OF1D8,L13OF17-L13OF18,17
R1137E,FR1,0,L13OF1D8-L13OF1D9,L13OF18-L13OF19,17
R1137E,FR1,0,L13OF1D9-L13OF1D10,L13OF19-L13OF10,18
R1137E,FR1,0,L15OF2D1-L15OF2D2,L15OF21-L15OF22,17
R1137E,FR1,0,L15OF2D2-L15OF2D3,L15OF22-L15OF23,17
R1137E,FR1,0,L15OF2D3-L15OF2D4,L15OF23-L15OF24,17
R1137E,FR1,0,L15OF2D4-L15OF2D5,L15OF24-L15OF25,17
R1137E,FR1,0,L15OF2D5-L15OF2D6,L15OF25-L15OF26,17
R1137E,FR1,0,L15OF2D6-L15OF2D7,L15OF26-L15OF27,17
R1137E,FR1,0,L15OF2D7-L15OF2D8,L15OF27-L15OF28,17
R1137E,FR1,0,L15OF2D8-L15OF2D9,L15OF28-L15OF29,17
R1137E,FR1,0,L15OF2D9-L15OF2D10,L15OF29-L15OF10,18
R1137E,FR1,1,L1TPODL1-L1TPODL2,L1TPOD1-L1TPOD2,17
R1137E,FR1,1,L1TPODL2-L1TPODL3,L1TPOD2-L1TPOD3,17
R1137E,FR1,1,L1TPODL3-L1TPODL4,L1TPOD3-L1TPOD4,17
R1137E,FR1,1,L1TPODL4-L1TPODL5,L1TPOD4-L1TPOD5,17
R1137E,FR1,1,L1TPODL5-L1TPODL6,L1TPOD5-L1TPOD6,17
R1137E,FR1,1,L1TPODL6-L1TPODL7,L1TPOD6-L1TPOD7,17
R1137E,FR1,1,L1TPODL7-L1TPODL8,L1TPOD7-L1TPOD8,17
R1137E,FR1,1,L1TPODL8-L1TPODL9,L1TPOD8-L1TPOD9,17
R1137E,FR1,1,L13OF1D1-L13OF1D2,L13OF11-L13OF12,17
R1137E,FR1,1,L13OF1D2-L13OF1D3,L13OF12-L13OF13,17
R1137E,FR1,1,L13OF1D3-L13OF1D4,L13OF13-L13OF14,17
R1137E,FR1,1,L13OF1D4-L13OF1D5,L13OF14-L13OF15,17
R1137E,FR1,1,L13OF1D5-L13OF1D6,L13OF15-L13OF16,17
R1137E,FR1,1,L13OF1D6-L13OF1D7,L13OF16-L13OF17,17
R1137E,FR1,1,L13OF1D7-L13OF1D8,L13OF17-L13OF18,17
R1137E,FR1,1,L13OF1D8-L13OF1D9,L13OF18-L13OF19,17
R1137E,FR1,1,L13OF1D9-L13OF1D10,L13OF19-L13OF10,18
R1137E,FR1,1,L15OF2D1-L15OF2D2,L15OF21-L15OF22,17
R1137E,FR1,1,L15OF2D2-L15OF2D3,L15OF22-L15OF23,17
R1137E,FR1,1,L15OF2D3-L15OF2D4,L15OF23-L15OF24,17
R1137E,FR1,1,L15OF2D4-L15OF2D5,L15OF24-L15OF25,17
R1137E,FR1,1,L15OF2D5-L15OF2D6,L15OF25-L15OF26,17
R1137E,FR1,1,L15OF2D6-L15OF2D7,L15OF26-L15OF27,17
R1137E,FR1,1,L15OF2D7-L15OF2D8,L15OF27-L15OF28,17
R1137E,FR1,1,L15OF2D8-L15OF2D9,L15OF28-L15OF29,17
R1137E,FR1,1,L15OF2D9-L15OF2D10,L15OF29-L15OF10,18
R1137E,FR1,2,L1TPODL1-L1TPODL2,L1TPOD1-L1TPOD2,17
R1137E,FR1,2,L1TPODL2-L1TPODL3,L1TPOD2-L1TPOD3,17
R1137E,FR1,2,L1TPODL3-L1TPODL4,L1TPOD3-L1TPOD4,17
R1137E,FR1,2,L1TPODL4-L1TPODL5,L1TPOD4-L1TPOD5,17
R1137E,FR1,2,L1TPODL5-L1TPODL6,L1TPOD5-L1TPOD6,17
R1137E,FR1,2,L1TPODL6-L1TPODL7,L1TPOD6-L1TPOD7,17
R1137E,FR1,2,L1TPODL7-L1TPODL8,L1TPOD7-L1TPOD8,17
R1137E,FR1,2,L1TPODL8-L1TPODL9,L1TPOD8-L1TPOD9,17
R1137E,FR1,2,L13OF1D1-L13OF1D2,L13OF11-L13OF12,17
R1137E,FR1,2,L13OF1D2-L13OF1D3,L13OF12-L13OF13,17
R1137E,FR1,2,L13OF1D3-L13OF1D4,L13OF13-L13OF14,17
R1137E,FR1,2,L13OF1D4-L13OF1D5,L13OF14-L13OF15,17
R1137E,FR1,2,L13OF1D5-L13OF1D6,L13OF15-L13OF16,17
R1137E,FR1,2,L13OF1D6-L13OF1D7,L13OF16-L13OF17,17
R1137E,FR1,2,L13OF1D7-L13OF1D8,L13OF17-L13OF18,17
R1137E,FR1,2,L13OF1D8-L13OF1D9,L13OF18-L13OF19,17
R1137E,FR1,2,L13OF1D9-L13OF1D10,L13OF19-L13OF10,18
R1137E,FR1,2,L15OF2D1-L15OF2D2,L15OF21-L15OF22,17
R1137E,FR1,2,L15OF2D2-L15OF2D3,L15OF22-L15OF23,17
R1137E,FR1,2,L15OF2D3-L15OF2D4,L15OF23-L15OF24,17
R1137E,FR1,2,L15OF2D4-L15OF2D5,L15OF24-L15OF25,17
R1137E,FR1,2,L15OF2D5-L15OF2D6,L15OF25-L15OF26,17
R1137E,FR1,2,L15OF2D6-L15OF2D7,L15OF26-L15OF27,17
R1137E,FR1,2,L15OF2D7-L15OF2D8,L15OF27-L15OF28,17
R1137E,FR1,2,L15OF2D8-L15OF2D9,L15OF28-L15OF29,17
R1137E,FR1,2,L15OF2D9-L15OF2D10,L15OF29-L15OF10,18
R1231M,FR1,0,RP-THAL1-RP-THAL2,RP-THA1-RP-THA2,17
R1231M,FR1,0,RP-THAL2-RP-THAL3,RP-THA2-RP-THA3,17
R1231M,FR1,0,RP-THAL3-RP-THAL4,RP-THA3-RP-THA4,17
R1231M,FR1,0,RP-THAL4-RP-THAL5,RP-THA4-RP-THA5,17
R1231M,FR1,0,RP-THAL5-RP-THAL6,RP-THA5-RP-THA6,17
R1231M,FR1,0,RP-THAL6-RP-THAL7,RP-THA6-RP-THA7,17
R1231M,FR1,0,RP-THAL7-RP-THAL8,RP-THA7-RP-THA8,17
R1231M,FR1,0,RP-THAL8-RP-THAL9,RP-THA8-RP-THA9,17
R1231M,FR1,0,RP-THAL9-RP-THAL10,RP-THA9-RP-TH10,18
R1231M,FR1,0,RP-THAL10-RP-THAL11,RP-TH10-RP-TH11,19
R1231M,FR1,0,RP-THAL11-RP-THAL12,RP-TH11-RP-TH12,19
R1231M,FR1,0,RP-THAL12-RP-THAL13,RP-TH12-RP-TH13,19
R1231M,FR1,0,RP-THAL13-RP-THAL14,RP-TH13-RP-TH14,19
R1231M,FR1,0,RP-THAL14-RP-THAL15,RP-TH14-RP-TH15,19
R1231M,FR1,0,RP-THAL15-RP-THAL16,RP-TH15-RP-TH16,19
R1231M,FR1,1,RP-THAL1-RP-THAL2,RP-THA1-RP-THA2,17
R1231M,FR1,1,RP-THAL2-RP-THAL3,RP-THA2-RP-THA3,17
R1231M,FR1,1,RP-THAL3-RP-THAL4,RP-THA3-RP-THA4,17
R1231M,FR1,1,RP-THAL4-RP-THAL5,RP-THA4-RP-THA5,17
R1231M,FR1,1,RP-THAL5-RP-THAL6,RP-THA5-RP-THA6,17
R1231M,FR1,1,RP-THAL6-RP-THAL7,RP-THA6-RP-THA7,17
R1231M,FR1,1,RP-THAL7-RP-THAL8,RP-THA7-RP-THA8,17
R1231M,FR1,1,RP-THAL8-RP-THAL9,RP-THA8-RP-THA9,17
R1231M,FR1,1,RP-THAL9-RP-THAL10,RP-THA9-RP-TH10,18
R1231M,FR1,1,RP-THAL10-RP-THAL11,RP-TH10-RP-TH11,19
R1231M,FR1,1,RP-THAL11-RP-THAL12,RP-TH11-RP-TH12,19
R1231M,FR1,1,RP-THAL12-RP-THAL13,RP-TH12-RP-TH13,19
R1231M,FR1,1,RP-THAL13-RP-THAL14,RP-TH13-RP-TH14,19
R1231M,FR1,1,RP-THAL14-RP-THAL15,RP-TH14-RP-TH15,19
R1231M,FR1,1,RP-THAL15-RP-THAL16,RP-TH15-RP-TH16,19
R1231M,PAL1,0,RP-THAL1-RP-THAL2,RP-THA1-RP-THA2,17
R1231M,PAL1,0,RP-THAL2-RP-THAL3,RP-THA2-RP-THA3,17
R1231M,PAL1,0,RP-THAL3-RP-THAL4,RP-THA3-RP-THA4,17
R1231M,PAL1,0,RP-THAL4-RP-THAL5,RP-THA4-RP-THA5,17
R1231M,PAL1,0,RP-THAL5-RP-THAL6,RP-THA5-RP-THA6,17
R1231M,PAL1,0,RP-THAL6-RP-THAL7,RP-THA6-RP-THA7,17
R1231M,PAL1,0,RP-THAL7-RP-THAL8,RP-THA7-RP-THA8,17
R1231M,PAL1,0,RP-THAL8-RP-THAL9,RP-THA8-RP-THA9,17
R1231M,PAL1,0,RP-THAL9-RP-THAL10,RP-THA9-RP-TH10,18
R1231M,PAL1,0,RP-THAL10-RP-THAL11,RP-TH10-RP-TH11,19
R1231M,PAL1,0,RP-THAL11-RP-THAL12,RP-TH11-RP-TH12,19
R1231M,PAL1,0,RP-THAL12-RP-THAL13,RP-TH12-RP-TH13,19
