subject,subject_alias,experiment,original_experiment,session,original_session,system_version
R1001P,R1001P,FR1,,0,0,1.0
R1001P,R1001P,FR1,,1,1,1.0
R1001P,R1001P,FR2,,0,0,1.0
R1001P,R1001P,FR2,,1,1,1.0
R1001P,R1001P,PAL1,,0,0,1.0
R1001P,R1001P,PAL1,,1,1,1.0
R1001P,R1001P,YC1,,0,0,1.0
R1001P,R1001P,YC1,,1,1,1.0
R1001P,R1001P,YC1,,2,2,1.0
R1002P,R1002P,FR1,,0,0,1.0
R1002P,R1002P,FR1,,1,1,1.0
R1002P,R1002P,FR2,,0,0,1.0
R1002P,R1002P,FR2,,1,1,1.0
R1002P,R1002P,FR2,,2,2,1.0
R1002P,R1002P,PAL1,,0,0,1.0
R1002P,R1002P,PAL1,,1,1,1.0
R1002P,R1002P,PAL1,,2,2,1.0
R1003P,R1003P,FR2,,0,0,1.0
R1003P,R1003P,PAL1,,0,0,1.0
R1003P,R1003P,PAL1,,1,1,1.0
R1003P,R1003P,PAL2,,0,0,1.0
R1003P,R1003P,PAL2,,1,1,1.0
R1004D,R1004D,catFR1,,0,0,1.0
R1006P,R1006P,FR1,,0,0,1.0
R1006P,R1006P,FR1,,1,1,1.0
R1006P,R1006P_1,FR2,,0,0,1.0
R1006P,R1006P_1,FR2,,1,1,1.0
R1006P,R1006P,YC1,,0,0,1.0
R1006P,R1006P,YC1,,1,1,1.0
R1006P,R1006P,YC1,,2,2,1.0
R1006P,R1006P,YC2,,0,0,1.0
R1006P,R1006P,YC2,,1,1,1.0
R1006P,R1006P_1,YC2,,2,0,1.0
R1008J,R1008J,YC1,,0,0,1.0
R1009W,R1009W,YC1,,0,0,1.0
R1010J,R1010J,FR1,,0,0,1.0
R1010J,R1010J,FR1,,1,1,1.0
R1010J,R1010J,YC1,,0,0,1.0
R1010J,R1010J,YC1,,1,1,1.0
R1013E,R1013E,YC1,,0,0,1.0
R1013E,R1013E_1,YC1,,1,0,1.0
R1013E,R1013E_1,YC2,,0,0,1.0
R1013E,R1013E_1,YC2,,1,1,1.0
R1013E,R1013E_1,catFR1,,0,0,1.0
R1014D,R1014D,YC1,,0,0,1.0
R1014D,R1014D,YC1,,1,1,1.0
R1015J,R1015J,FR1,,0,0,1.0
R1015J,R1015J,YC1,,0,0,1.0
R1015J,R1015J,YC1,,1,1,1.0
R1015J,R1015J,YC2,,0,0,1.0
R1015J,R1015J,YC2,,1,1,1.0
R1015J,R1015J,YC2,,2,2,1.0
R1015J,R1015J,YC2,,3,3,1.0
R1015J,R1015J,YC2,,4,4,1.0
R1015J,R1015J,YC2,,5,5,1.0
R1015J,R1015J,YC2,,6,6,1.0
R1015J,R1015J,catFR1,,0,0,1.0
R1016M,R1016M,FR2,,0,0,1.0
R1016M,R1016M,PAL1,,0,0,1.0
R1016M,R1016M,PAL2,,0,0,1.0
R1016M,R1016M,PAL2,,1,1,1.0
R1016M,R1016M,PAL2,,2,2,1.0
R1016M,R1016M,catFR1,,0,0,1.0
R1016M,R1016M,catFR1,,1,1,1.0
R1016M,R1016M,catFR2,,0,0,1.0
R1017J,R1017J,YC2,,0,0,1.0
R1018P,R1018P,FR1,,0,0,1.0
R1018P,R1018P,FR2,,0,0,1.0
R1018P,R1018P_1,FR2,,1,0,1.0
R1018P,R1018P_1,PAL1,,0,0,1.0
R1018P,R1018P,YC1,,0,0,1.0
R1019J,R1019J,YC1,,0,0,1.0
R1019J,R1019J,YC1,,1,1,1.0
R1019J,R1019J,YC1,,2,2,1.0
R1019J,R1019J,YC2,,0,0,1.0
R1019J,R1019J,YC2,,1,1,1.0
R1019J,R1019J,YC2,,2,2,1.0
R1019J,R1019J,YC2,,3,3,1.0
R1019J,R1019J,YC2,,4,4,1.0
R1019J,R1019J,YC2,,5,5,1.0
R1019J,R1019J,YC2,,6,6,1.0
R1020J,R1020J,FR1,,0,0,1.0
R1020J,R1020J,FR2,,0,0,1.0
R1020J,R1020J,FR2,,1,1,1.0
R1020J,R1020J,FR2,,2,2,1.0
R1020J,R1020J,FR2,,3,3,1.0
R1020J,R1020J,YC2,,0,0,1.0
R1020J,R1020J,YC2,,1,1,1.0
R1021D,R1021D,YC1,,0,0,1.0
R1021D,R1021D,YC1,,1,1,1.0
R1021D,R1021D,catFR1,,0,0,1.0
R1022J,R1022J,FR1,,0,0,1.0
R1022J,R1022J,FR2,,0,0,1.0
R1022J,R1022J,FR2,,1,1,1.0
R1023J,R1023J,FR1,,0,0,1.0
R1023J,R1023J,FR2,,0,0,1.0
R1023J,R1023J,FR2,,1,1,1.0
R1023J,R1023J,PAL1,,0,0,1.0
R1023J,R1023J,YC1,,0,0,1.0
R1023J,R1023J,YC1,,1,1,1.0
R1023J,R1023J,YC2,,0,0,1.0
R1023J,R1023J,YC2,,1,1,1.0
R1024E,R1024E_2,FR2,,0,0,1.0
R1024E,R1024E,YC1,,0,0,1.0
R1024E,R1024E_1,YC1,,1,0,1.0
R1024E,R1024E,YC2,,0,0,1.0
R1024E,R1024E,YC2,,1,1,1.0
R1024E,R1024E_1,YC2,,2,0,1.0
R1024E,R1024E_2,YC2,,3,1,1.0
R1024E,R1024E_1,catFR1,,0,0,1.0
R1024E,R1024E_1,catFR2,,0,0,1.0
R1024E,R1024E_1,catFR2,,1,1,1.0
R1025P,R1025P,PS1,PS,0,0,1.0
R1025P,R1025P,YC1,,0,0,1.0
R1026D,R1026D,FR1,,0,0,1.0
R1026D,R1026D,FR2,,0,0,1.0
R1026D,R1026D,FR2,,1,1,1.0
R1026D,R1026D,YC1,,0,0,1.0
R1026D,R1026D,YC2,,0,0,1.0
R1026D,R1026D,YC2,,1,1,1.0
R1026D,R1026D,catFR1,,0,0,1.0
R1026D,R1026D,catFR2,,0,0,1.0
R1026D,R1026D,catFR2,,1,1,1.0
R1026D,R1026D,catFR2,,2,2,1.0
R1027J,R1027J,FR2,,0,0,1.0
R1027J,R1027J,FR2,,1,1,1.0
R1027J,R1027J,FR2,,2,2,1.0
R1027J,R1027J,YC2,,0,0,1.0
R1027J,R1027J,YC2,,1,1,1.0
R1027J,R1027J,YC2,,2,2,1.0
R1027J,R1027J,YC2,,3,3,1.0
R1028M,R1028M,FR2,,0,0,1.0
R1028M,R1028M,FR2,,1,1,1.0
R1028M,R1028M,FR2,,2,2,1.0
R1028M,R1028M,PAL1,,0,0,1.0
R1028M,R1028M,PAL1,,1,1,1.0
R1028M,R1028M,PAL2,,0,0,1.0
R1028M,R1028M,catFR1,,0,0,1.0
R1028M,R1028M,catFR1,,1,1,1.0
R1028M,R1028M,catFR2,,0,0,1.0
R1029W,R1029W,catFR2,,0,0,1.0
R1029W,R1029W,catFR2,,1,1,1.0
R1030J,R1030J,FR1,,0,0,1.0
R1030J,R1030J,FR2,,0,0,1.0
R1030J,R1030J,FR2,,1,1,1.0
R1030J,R1030J,FR2,,2,2,1.0
R1030J,R1030J,FR2,,3,3,1.0
R1030J,R1030J,FR2,,4,4,1.0
R1030J,R1030J,FR2,,5,5,1.0
R1030J,R1030J,FR2,,6,6,1.0
R1030J,R1030J,PS1,PS,0,1,1.0
R1030J,R1030J,YC1,,0,0,1.0
R1030J,R1030J,YC2,,0,0,1.0
R1030J,R1030J,YC2,,1,1,1.0
R1030J,R1030J,YC2,,2,2,1.0
R1030J,R1030J,YC2,,3,3,1.0
R1031M,R1031M,FR1,,0,0,1.0
R1031M,R1031M,FR2,,0,0,1.0
R1031M,R1031M,PAL1,,0,0,1.0
R1031M,R1031M,PAL2,,0,0,1.0
R1031M,R1031M,PAL2,,1,1,1.0
R1031M,R1031M,catFR1,,0,0,1.0
R1031M,R1031M,catFR2,,0,0,1.0
R1032D,R1032D,FR1,,0,0,1.0
R1032D,R1032D,YC1,,0,0,1.0
R1032D,R1032D,YC2,,0,0,1.0
R1032D,R1032D,YC2,,1,1,1.0
R1032D,R1032D,catFR1,,0,0,1.0
R1032D,R1032D,catFR1,,1,1,1.0
R1033D,R1033D,FR2,,0,0,1.0
R1033D,R1033D,FR2,,1,1,1.0
R1033D,R1033D,FR2,,2,2,1.0
R1033D,R1033D,YC1,,0,0,1.0
R1033D,R1033D,YC2,,0,0,1.0
R1033D,R1033D,YC2,,1,1,1.0
R1034D,R1034D,PS1,PS,0,2,1.0
R1034D,R1034D,PS1,PS,1,5,1.0
R1034D,R1034D,PS1,PS,2,8,1.0
R1034D,R1034D,PS3,PS,0,3,1.0
R1034D,R1034D,PS3,PS,1,9,1.0
R1034D,R1034D,PS3,PS,2,12,1.0
R1034D,R1034D,YC1,,0,0,1.0
R1034D,R1034D,YC1,,1,1,1.0
R1035M,R1035M,FR2,,0,0,1.0
R1035M,R1035M,PAL1,,0,0,1.0
R1035M,R1035M,catFR1,,0,0,1.0
R1036M,R1036M,FR1,,0,0,1.0
R1036M,R1036M,FR2,,0,0,1.0
R1036M,R1036M,PAL1,,0,0,1.0
R1036M,R1036M,PAL2,,0,0,1.0
R1036M,R1036M,catFR1,,0,0,1.0
R1036M,R1036M,catFR2,,0,0,1.0
R1036M,R1036M,catFR2,,1,1,1.0
R1036M,R1036M,catFR2,,2,2,1.0
R1037D,R1037D,YC1,,0,0,1.0
R1037D,R1037D,YC1,,1,1,1.0
R1037D,R1037D,YC1,,2,2,1.0
R1037D,R1037D,YC2,,0,0,1.0
R1037D,R1037D,YC2,,1,1,1.0
R1037D,R1037D,YC2,,2,2,1.0
R1037D,R1037D,YC2,,3,4,1.0
R1037D,R1037D,YC2,,4,5,1.0
R1039M,R1039M,FR1,,0,0,1.0
R1039M,R1039M,catFR1,,0,0,1.0
R1039M,R1039M,catFR2,,0,0,1.0
R1041M,R1041M,YC1,,0,0,1.0
R1041M,R1041M,YC1,,1,1,1.0
R1041M,R1041M,YC1,,2,2,1.0
R1041M,R1041M,catFR1,,0,0,1.0
R1041M,R1041M,catFR2,,0,0,1.0
R1042M,R1042M,FR1,,0,0,1.0
R1042M,R1042M,FR2,,0,0,1.0
R1042M,R1042M,PAL1,,0,0,1.0
R1042M,R1042M,YC1,,0,0,1.0
R1042M,R1042M,YC2,,0,0,1.0
R1042M,R1042M,catFR1,,0,0,1.0
R1042M,R1042M,catFR2,,0,0,1.0
R1044J,R1044J,FR1,,0,0,1.0
R1044J,R1044J,PS1,PS,0,1,1.0
R1044J,R1044J,PS1,PS,1,3,1.0
R1044J,R1044J,YC1,,0,0,1.0
R1044J,R1044J,catFR1,CatFR1,0,,1.0
R1045E,R1045E,FR1,,0,0,1.0
R1045E,R1045E,PS1,PS,0,2,1.0
R1045E,R1045E,YC1,,0,0,1.0
R1045E,R1045E,YC1,,1,1,1.0
R1045E,R1045E,catFR1,,0,0,1.0
R1045E,R1045E,catFR1,,1,1,1.0
R1047D,R1047D,YC1,,0,0,1.0
R1047D,R1047D,YC1,,1,1,1.0
R1047D,R1047D,YC2,,0,1,1.0
R1048E,R1048E,FR1,,0,0,1.0
R1048E,R1048E_1,FR2,,0,0,1.0
R1048E,R1048E,YC1,,0,0,1.0
R1049J,R1049J,YC1,,0,0,1.0
R1049J,R1049J,YC1,,1,1,1.0
R1050M,R1050M,FR1,,0,0,1.0
R1050M,R1050M,FR2,,0,0,1.0
R1050M,R1050M,PAL1,,0,0,1.0
R1050M,R1050M,PAL2,,0,0,1.0
R1050M,R1050M,PS1,PS,0,2,1.0
R1050M,R1050M,PS2,PS,0,3,1.0
R1050M,R1050M,PS3,PS,0,4,1.0
R1050M,R1050M,YC1,,0,0,1.0
R1050M,R1050M,YC2,,0,0,1.0
R1050M,R1050M,catFR1,,0,0,1.0
R1050M,R1050M,catFR2,,0,0,1.0
R1051J,R1051J,FR1,,0,0,1.0
R1051J,R1051J,FR1,,1,1,1.0
R1051J,R1051J,FR1,,2,2,1.0
R1051J,R1051J,PS1,PS,0,1,1.0
R1051J,R1051J,PS1,PS,1,4,1.0
R1051J,R1051J,PS2,PS,0,5,1.0
R1051J,R1051J,PS3,PS,0,2,1.0
R1051J,R1051J,PS3,PS,1,6,1.0
R1051J,R1051J,YC1,,0,0,1.0
R1051J,R1051J,YC1,,1,1,1.0
R1052E,R1052E_1,FR1,,0,0,1.0
R1052E,R1052E_1,FR1,,1,1,1.0
R1052E,R1052E_1,FR2,,0,0,1.0
R1052E,R1052E_1,PS1,PS,0,2,1.0
R1052E,R1052E,YC1,,0,0,1.0
R1052E,R1052E_1,YC1,,1,0,1.0
R1052E,R1052E_1,YC1,,2,1,1.0
R1052E,R1052E_2,YC1,,3,0,1.0
R1052E,R1052E_2,YC1,,4,1,1.0
R1053M,R1053M,FR1,,0,0,1.0
R1053M,R1053M,FR2,,0,0,1.0
R1054J,R1054J,FR1,,0,0,1.0
R1054J,R1054J,FR1,,1,1,1.0
R1054J,R1054J,PS1,PS,0,0,1.0
R1054J,R1054J,PS1,PS,1,1,1.0
R1054J,R1054J,PS3,PS,0,2,1.0
R1054J,R1054J,PS3,PS,1,3,1.0
R1054J,R1054J,YC1,,0,0,1.0
R1056M,R1056M,FR2,,0,0,1.0
R1056M,R1056M,PAL1,,0,0,1.0
R1056M,R1056M,PS1,PS,0,0,1.0
R1056M,R1056M,PS1,PS,1,4,1.0
R1056M,R1056M,PS1,PS,2,8,1.0
R1056M,R1056M,PS1,PS,3,12,1.0
R1056M,R1056M,PS1,PS,4,15,1.0
R1056M,R1056M,PS2,PS,0,1,1.0
R1056M,R1056M,PS2,PS,1,5,1.0
R1056M,R1056M,PS2,PS,2,9,1.0
R1056M,R1056M,PS2,PS,3,13,1.0
R1056M,R1056M,PS2,PS,4,16,1.0
R1056M,R1056M,PS3,PS,0,2,1.0
R1056M,R1056M,PS3,PS,1,6,1.0
R1056M,R1056M,PS3,PS,2,10,1.0
R1056M,R1056M,PS3,PS,3,14,1.0
R1056M,R1056M,PS3,PS,4,17,1.0
R1056M,R1056M,YC1,,0,0,1.0
R1056M,R1056M,YC2,,0,0,1.0
R1056M,R1056M,catFR1,,0,0,1.0
R1059J,R1059J,FR1,,0,0,1.0
R1059J,R1059J,FR1,,1,1,1.0
R1059J,R1059J_1,PS1,PS,0,1,1.0
R1059J,R1059J_1,PS1,PS,1,10,1.0
R1059J,R1059J_1,PS1,PS,2,14,1.0
R1059J,R1059J_2,PS1,PS,3,6,1.0
R1059J,R1059J_1,PS2,PS,0,3,1.0
R1059J,R1059J_1,PS2,PS,1,12,1.0
R1059J,R1059J_1,PS2,PS,2,16,1.0
R1059J,R1059J_2,PS2,PS,3,8,1.0
R1059J,R1059J_1,PS3,PS,0,2,1.0
R1059J,R1059J_1,PS3,PS,1,11,1.0
R1059J,R1059J_1,PS3,PS,2,15,1.0
R1059J,R1059J_2,PS3,PS,3,7,1.0
R1059J,R1059J_1,YC1,,0,0,1.0
R1060M,R1060M,FR1,,0,0,1.0
R1060M,R1060M,FR1,,1,1,1.0
R1060M,R1060M,FR1,,2,2,1.0
R1060M,R1060M,FR1,,3,3,1.0
R1060M,R1060M,FR2,,0,0,1.0
R1060M,R1060M,FR2,,1,1,1.0
R1060M,R1060M,PAL1,,0,0,1.0
R1060M,R1060M,PAL2,,0,0,1.0
R1060M,R1060M,PAL2,,1,2,1.0
R1060M,R1060M,PS1,PS,0,1,1.0
R1060M,R1060M,PS2,PS,0,5,1.0
R1060M,R1060M,PS3,PS,0,3,1.0
R1060M,R1060M,YC1,,0,0,1.0
R1060M,R1060M,YC1,,1,2,1.0
R1060M,R1060M,YC2,,0,0,1.0
R1060M,R1060M,catFR1,,0,0,1.0
R1060M,R1060M,catFR2,,0,0,1.0
R1061T,R1061T,FR1,,0,0,1.0
R1061T,R1061T,FR1,,1,1,1.0
R1061T,R1061T,FR1,,2,2,1.0
R1061T,R1061T,FR1,,3,3,1.0
R1061T,R1061T,PS1,PS,0,1,1.0
R1061T,R1061T,PS1,PS,1,3,1.0
R1061T,R1061T,YC1,,0,0,1.0
R1061T,R1061T,YC2,,0,0,1.0
R1061T,R1061T,catFR1,,0,0,1.0
R1062J,R1062J,FR1,,0,0,1.0
R1062J,R1062J,FR1,,1,1,1.0
R1062J,R1062J,FR1,,2,2,1.0
R1062J,R1062J,FR1,,3,3,1.0
R1062J,R1062J,PS1,PS,0,2,1.0
R1062J,R1062J,PS3,PS,0,3,1.0
R1062J,R1062J,YC1,,0,1,1.0
R1062J,R1062J,YC1,,1,3,1.0
R1063C,R1063C_1,PAL1,,0,0,1.0
R1063C,R1063C_1,YC1,,0,0,1.0
R1063C,R1063C_1,YC1,,1,1,1.0
R1064E,R1064E,PS1,PS,0,1,1.0
R1064E,R1064E_1,PS1,PS,1,1,1.0
R1064E,R1064E,PS2,PS,0,2,1.0
R1064E,R1064E_1,PS2,PS,1,2,1.0
R1064E,R1064E,PS3,PS,0,3,1.0
R1064E,R1064E_1,PS3,PS,1,3,1.0
R1064E,R1064E,YC1,,0,0,1.0
R1064E,R1064E,YC1,,1,1,1.0
R1064E,R1064E_1,YC1,,2,0,1.0
R1065J,R1065J,FR1,,0,0,1.0
R1065J,R1065J,FR1,,1,1,1.0
R1065J,R1065J,FR1,,2,2,1.0
R1065J,R1065J,FR1,,3,3,1.0
R1065J,R1065J,FR1,,4,4,1.0
R1065J,R1065J,FR1,,5,5,1.0
R1065J,R1065J,PAL1,,0,0,1.0
R1065J,R1065J,PAL1,,1,1,1.0
R1065J,R1065J,PAL1,,2,2,1.0
R1065J,R1065J,PS1,PS,0,1,1.0
R1065J,R1065J,YC1,,0,0,1.0
R1065J,R1065J,YC1,,1,1,1.0
R1065J,R1065J,YC1,,2,2,1.0
R1065J,R1065J,YC1,,3,3,1.0
R1065J,R1065J,YC1,,4,4,1.0
R1065J,R1065J,YC1,,5,5,1.0
R1065J,R1065J,YC2,,0,0,1.0
R1065J,R1065J,catFR1,,0,0,1.0
R1065J,R1065J,catFR1,,1,1,1.0
R1065J,R1065J,catFR1,,2,2,1.0
R1065J,R1065J,catFR1,,3,3,1.0
R1066P,R1066P,PAL1,,0,0,1.0
R1066P,R1066P,PS1,PS,0,1,1.0
R1066P,R1066P,PS3,PS,0,2,1.0
R1066P,R1066P,YC1,,0,0,1.0
R1066P,R1066P,YC1,,1,1,1.0
R1066P,R1066P,YC1,,2,2,1.0
R1066P,R1066P_1,YC1,,3,0,1.0
R1067P,R1067P,FR1,,0,0,1.0
R1067P,R1067P,FR1,,1,2,1.0
R1067P,R1067P,FR1,,2,3,1.0
R1067P,R1067P,PS1,PS,0,1,1.0
R1067P,R1067P,PS1,PS,1,4,1.0
R1067P,R1067P,PS3,PS,0,2,1.0
R1067P,R1067P,PS3,PS,1,5,1.0
R1067P,R1067P,YC1,,0,0,1.0
R1067P,R1067P,catFR1,,0,0,1.0
R1067P,R1067P,catFR1,,1,1,1.0
R1067P,R1067P,catFR2,,0,0,1.0
R1068J,R1068J,PS1,PS,0,4,1.0
R1068J,R1068J,PS2,PS,0,5,1.0
R1068J,R1068J,PS2,PS,1,7,1.0
R1068J,R1068J,YC1,,0,0,1.0
R1068J,R1068J,YC1,,1,1,1.0
R1069M,R1069M,FR2,,0,0,1.0
R1069M,R1069M,PAL1,,0,0,1.0
R1069M,R1069M,PS1,PS,0,1,1.0
R1069M,R1069M,PS2,PS,0,2,1.0
R1069M,R1069M,PS3,PS,0,3,1.0
R1069M,R1069M,YC1,,0,0,1.0
R1069M,R1069M,YC2,,0,0,1.0
R1069M,R1069M,catFR2,,0,0,1.0
R1070T,R1070T,FR1,,0,0,1.0
R1070T,R1070T,FR1,,2,2,1.0
R1070T,R1070T,FR2,,0,0,1.0
R1070T,R1070T,PS1,PS,0,1,1.0
R1070T,R1070T,PS1,PS,1,2,1.0
R1073J,R1073J,PS1,PS,0,2,1.0
R1073J,R1073J,PS1,PS,1,5,1.0
R1073J,R1073J,PS3,PS,0,3,1.0
R1073J,R1073J,PS3,PS,1,6,1.0
R1073J,R1073J,YC1,,0,0,1.0
R1074M,R1074M,FR1,,0,0,1.0
R1074M,R1074M,FR2,,0,0,1.0
R1074M,R1074M,PAL1,,0,0,1.0
R1074M,R1074M,PAL2,,0,0,1.0
R1074M,R1074M,PS1,PS,0,1,1.0
R1074M,R1074M,PS1,PS,1,5,1.0
R1074M,R1074M,PS1,PS,2,10,1.0
R1074M,R1074M,PS2,PS,0,2,1.0
R1074M,R1074M,PS2,PS,1,7,1.0
R1074M,R1074M,PS2,PS,2,11,1.0
R1074M,R1074M,PS3,PS,0,3,1.0
R1074M,R1074M,PS3,PS,1,8,1.0
R1074M,R1074M,PS3,PS,2,12,1.0
R1074M,R1074M,YC1,,0,0,1.0
R1074M,R1074M,YC2,,0,0,1.0
R1074M,R1074M,catFR1,,0,0,1.0
R1074M,R1074M,catFR2,,0,0,1.0
R1075J,R1075J,YC1,,0,0,1.0
R1075J,R1075J,YC1,,1,1,1.0
R1076D,R1076D,TH1,,0,0,2.0
R1076D,R1076D,TH1,,1,1,2.0
R1077T,R1077T,FR1,,0,0,1.0
R1077T,R1077T,FR1,,1,1,1.0
R1077T,R1077T,FR1,,2,2,1.0
R1077T,R1077T,FR1,,3,3,1.0
R1077T,R1077T,FR2,,0,0,1.0
R1077T,R1077T,PS1,PS,0,1,1.0
R1077T,R1077T,PS1,PS,1,2,1.0
R1077T,R1077T,PS2,PS,0,3,1.0
R1077T,R1077T,PS3,PS,0,4,1.0
R1077T,R1077T,YC1,,0,0,1.0
R1077T,R1077T,YC1,,1,1,1.0
R1078N,R1078N,PAL1,,0,0,1.0
R1079E,R1079E,YC1,,0,0,1.0
